koolhydraten,vet,kcal,product,eenheid
2, 10.5, 162 ,"Haring, Zoute ",100 gr
0, 9.9, 168 ,"Haring, Zure ",100 gr
0, 16, 208 ,Hartige Taart ,100 gr
13.7, 9.1, 172 ,Hartige Taart Met Bl ,100 gr
9.9, 21.2, 273 ,Hausmacher ,100 gr
0, 29, 325 ,Haverkoek ,100 gr
53.8, 10.7, 344 ,Havermout ,100 gr
62, 7, 363 ,Havermoutpap ,100 gr
7.5, 3.2, 74 ,Hazelnootpasta ,100 gr
59, 30.3, 538 ,Hazelnoten ,100 gr
10.5, 61.6, 644 ,Heilbot ,100 gr
0, 5, 113 ,Heldere Soep ,100 gr
0, 1.5, 39 ,Hoestbonbon ,100 gr
98.4, 0, 396 ,Honing ,1 eetlepel
16, 0, 68 ,Hopje ,100 gr
95, 0, 380 ,Hotdog ,100 gr
37.5, 11.8, 295 ,Hot Ketchup ,100 gr
25.3, 0, 104 ,Hutspot ,100 gr
8.2, 2.6, 62 ,Hüttenkäse ,100 gr
2.3, 3.9, 91 ,Huzarenslaatje ,100 gr
14, 8, 150 ,"Ijs, Conotop ",100 gr
24, 14, 246 ,Ijscoupe Met Likeur ,100 gr
21.2, 7.8, 164 ,"Ijslolly, Waterijs ",100 gr
18.2, 0, 73 ,"Ijs, Met Chocolade ",100 gr
22.8, 12.7, 218 ,"Ijs, Sorbet- ",100 gr
26, 0, 106 ,"Ijswafeltje, Koekje ",100 gr
76.7, 10.1, 433 ,"Ijs, Yoghurt- ",100 gr
16, 3, 107 ,"Ij, Vanille- ",100 gr
19.7, 10.6, 186 ,Inktvis ,100 gr
2.2, 1.1, 82 ,Isostar Energiedrank ,100 gr
7, 0, 28 ,Jachtschotel ,100 gr
9, 5, 101 ,Jägermeister ,1 glaasje
5, 0, 100 ,"Jam, Halva- En Light ",100 gr
28, 0, 112 ,"Jam, Marmelade ",100
60, 0, 240 ,Japanse Mix ,100 gr
73.7, 3.9, 362 ,Jus ,1 sauslepe
0, 10, 100 ,Jus D'orange ,1 glas
9, 0, 40 ,Kaakje ,100 gr
16, 0, 66 ,"Kaas, 20+ ",100 gr
0, 13, 269 ,"Kaas, Brie/camembert ",100 gr
1.1, 25, 327 ,"Kaas, Edammer ",100 gr
0, 22, 314 ,"Kaas, Light ",100 gr
5, 8.5, 154 ,"Kaas, Mozzarella ",100 gr
0, 21, 299 ,"Kaas, Parmezaanse ",100 gr
2, 27, 411 ,Kaassoesje ,100 gr
9, 27.8, 334 ,Kaastucje ,100 gr
56, 33, 540 ,"Kaas, Volvet ",100 gr
0, 31.5, 384 ,Kaaswafel ,100 gr
37.4, 39.9, 565 ,Kabeljauw ,100 gr
0, 0.5, 76 ,Kalfsentrecôte ,100 gr
1.2, 9.1, 189 ,"Kalfsfricandeau, Bel ",100 gr
0, 3.2, 156 ,Kalfsgehakt ,100 gr
0, 12.5, 185 ,Kalfslapjes ,100 gr
0, 2, 102 ,Kalfslever ,100 gr
2, 7.2, 185 ,Kalfstong ,100 gr
1, 6.5, 132 ,Kalfszwezerik ,100 gr
4.6, 20, 218 ,Kalkoen ,100 gr
0, 7, 143 ,Kalkoenfilet ,100 gr
0, 1, 85 ,Kano's ,100 gr
61.1, 18.8, 435 ,Kapucijners ,100 gr
17.2, 0.6, 106 ,"Karbonade, Haas- ",100 gr
0, 5.8, 156 ,"Karbonade, Hals- ",100 gr
0, 18, 272 ,"Karbonade, Rib- ",100 gr
0.5, 10.7, 211 ,"Karbonade, Schouder ",100 gr
0, 18, 272 ,Karnemelk ,1 glas
5, 1, 50 ,Karper ,100 gr
0, 4.8, 115 ,Kastanjes ,100 gr
35, 1, 165 ,Katenspek ,100 gr
0.4, 37.9, 403 ,Kauwgom ,100 gr
70, 0, 280 ,Kaviaar ,100 gr
0, 15.5, 244 ,Kefir ,100 gr
3.8, 3, 55 ,Kellog's All Bran ,100 gr
46, 3, 267 ,Kellog's Chocopops ,100 gr
84, 2, 374 ,Kellog's Cornflakes ,100 gr
82, 0.8, 367 ,Kellog's Frosties ,100 gr
88, 0.5, 377 ,Kellog's Fruit & Fib ,100 gr
69, 5, 357 ,Kellog's Muesli ,100 gr
67, 6, 362 ,Kellog's Raisin Bran ,100 gr
86, 1, 377 ,Kellog's Smacks ,1 reep
14, 3, 91 ,Kernhemmer ,100 gr
0, 37, 413 ,Kerriesaus ,100 gr
13, 25, 278 ,Kersenbonbon ,100 gr
42.2, 18.9, 350 ,"Kersen, Op Siroop ",100 gr
18, 0, 76 ,"Kersen, Vers ",100 gr
15, 0, 64 ,Kerstkrans ,100 gr
43, 28.9, 461 ,Kervel ,100 gr
11.5, 1, 71 ,Ketchup ,1 eetlepel
4, 0, 16 ,Ketjap ,1 eetlepel
4, 0, 20 ,Ketjap Asin ,100 gr
18, 0, 120 ,Ketjap Manis ,100 gr
24, 0, 136 ,Kidney Beans ,100 gr
15.2, 0.7, 95 ,Kievitsbonen ,100 gr
43, 1.5, 265 ,Kikkerbil ,100 gr
0, 0.3, 68 ,Kikkererwten ,100 gr
26, 3, 163 ,Kinderbiscuit ,100 gr
72, 8, 396 ,Kip ,100 gr
0, 15, 207 ,Kipburger ,100 gr
9.9, 23.2, 306 ,Kipfilet ,100 gr
0, 3, 111 ,Kip-Kerriesalade ,100 gr
8.7, 24.8, 280 ,"Kipnugget, Kipkantje ",100 gr
12.2, 17.1, 272 ,Kippenbouillon ,100 ml
2, 0, 10 ,Kippenham ,100 gr
2, 0, 88 ,Kippenlever ,100 gr
2, 7.2, 184 ,Kippenpoot ,100 gr
0, 13.7, 229 ,Kiprollade ,100 gr
1.7, 7, 165 ,"Kipschnitzel, Gepane ",100 gr
8.3, 12.7, 217 ,Kiri-Crème ,100 gr
2.5, 33, 341 ,Kitkat ,100 gr
67.5, 21.1, 482 ,Kiwi ,1 stuk
6, 0, 24 ,Klapstuk ,100 gr
0, 14.4, 265 ,Knäckebröd 1 Snee ,1 snee
6, 1, 35 ,Knäckebröd Vezel ,1 snee
4.5, 0, 15 ,Knäckebröd Wasa ,100 gr
72, 2, 350 ,Knakworst ,100 gr
